Timestamp,Temperature (C),Humidity (%),Feels Like (C),Description
2024-11-22 18:00:00,25.07,65.00,25.33,clear sky
2024-11-22 21:00:00,25.21,64.00,25.46,clear sky
2024-11-23 00:00:00,25.23,65.00,25.51,clear sky
2024-11-23 03:00:00,25.76,65.00,26.09,clear sky
2024-11-23 06:00:00,27.69,57.00,28.72,clear sky
2024-11-23 09:00:00,28.11,55.00,29.07,clear sky
2024-11-23 12:00:00,27.24,60.00,28.39,clear sky
2024-11-23 15:00:00,26.19,65.00,26.19,clear sky
2024-11-23 18:00:00,25.81,67.00,26.20,broken clouds
2024-11-23 21:00:00,25.47,68.00,25.85,overcast clouds
2024-11-24 00:00:00,25.04,68.00,25.38,overcast clouds
2024-11-24 03:00:00,25.54,65.00,25.85,broken clouds
2024-11-24 06:00:00,27.22,57.00,28.13,broken clouds
2024-11-24 09:00:00,28.07,54.00,28.91,few clouds
2024-11-24 12:00:00,27.37,58.00,28.39,few clouds
2024-11-24 15:00:00,26.35,64.00,26.35,clear sky
2024-11-24 18:00:00,25.96,64.00,25.96,clear sky
2024-11-24 21:00:00,25.44,67.00,25.79,clear sky
2024-11-25 00:00:00,25.00,71.00,25.41,clear sky
2024-11-25 03:00:00,24.87,73.00,25.32,clear sky
2024-11-25 06:00:00,27.66,54.00,28.41,clear sky
2024-11-25 09:00:00,28.94,49.00,29.46,clear sky
2024-11-25 12:00:00,27.99,57.00,29.11,clear sky
2024-11-25 15:00:00,26.76,64.00,28.04,clear sky
2024-11-25 18:00:00,26.15,65.00,26.15,clear sky
2024-11-25 21:00:00,25.69,66.00,26.04,clear sky
2024-11-26 00:00:00,25.01,70.00,25.39,clear sky
2024-11-26 03:00:00,25.13,68.00,25.47,clear sky
2024-11-26 06:00:00,28.51,46.00,28.65,clear sky
2024-11-26 09:00:00,29.44,47.00,29.86,clear sky
2024-11-26 12:00:00,28.26,51.00,28.85,clear sky
2024-11-26 15:00:00,26.54,63.00,26.54,clear sky
2024-11-26 18:00:00,26.13,65.00,26.13,clear sky
2024-11-26 21:00:00,25.62,67.00,25.99,clear sky
2024-11-27 00:00:00,25.42,66.00,25.74,clear sky
2024-11-27 03:00:00,26.04,64.00,26.04,clear sky
2024-11-27 06:00:00,28.82,51.00,29.55,clear sky
2024-11-27 09:00:00,29.28,49.00,29.90,clear sky
2024-11-27 12:00:00,28.11,56.00,29.17,clear sky
2024-11-27 15:00:00,26.39,68.00,26.39,clear sky
2024-11-22 18:00:00,25.07,65.00,25.33,clear sky
2024-11-22 21:00:00,25.21,64.00,25.46,clear sky
2024-11-23 00:00:00,25.23,65.00,25.51,clear sky
2024-11-23 03:00:00,25.76,65.00,26.09,clear sky
2024-11-23 06:00:00,27.69,57.00,28.72,clear sky
2024-11-23 09:00:00,28.11,55.00,29.07,clear sky
2024-11-23 12:00:00,27.24,60.00,28.39,clear sky
2024-11-23 15:00:00,26.19,65.00,26.19,clear sky
2024-11-23 18:00:00,25.81,67.00,26.20,broken clouds
2024-11-23 21:00:00,25.47,68.00,25.85,overcast clouds
2024-11-24 00:00:00,25.04,68.00,25.38,overcast clouds
2024-11-24 03:00:00,25.54,65.00,25.85,broken clouds
2024-11-24 06:00:00,27.22,57.00,28.13,broken clouds
2024-11-24 09:00:00,28.07,54.00,28.91,few clouds
2024-11-24 12:00:00,27.37,58.00,28.39,few clouds
2024-11-24 15:00:00,26.35,64.00,26.35,clear sky
2024-11-24 18:00:00,25.96,64.00,25.96,clear sky
2024-11-24 21:00:00,25.44,67.00,25.79,clear sky
2024-11-25 00:00:00,25.00,71.00,25.41,clear sky
2024-11-25 03:00:00,24.87,73.00,25.32,clear sky
2024-11-25 06:00:00,27.66,54.00,28.41,clear sky
2024-11-25 09:00:00,28.94,49.00,29.46,clear sky
2024-11-25 12:00:00,27.99,57.00,29.11,clear sky
2024-11-25 15:00:00,26.76,64.00,28.04,clear sky
2024-11-25 18:00:00,26.15,65.00,26.15,clear sky
2024-11-25 21:00:00,25.69,66.00,26.04,clear sky
2024-11-26 00:00:00,25.01,70.00,25.39,clear sky
2024-11-26 03:00:00,25.13,68.00,25.47,clear sky
2024-11-26 06:00:00,28.51,46.00,28.65,clear sky
2024-11-26 09:00:00,29.44,47.00,29.86,clear sky
2024-11-26 12:00:00,28.26,51.00,28.85,clear sky
2024-11-26 15:00:00,26.54,63.00,26.54,clear sky
2024-11-26 18:00:00,26.13,65.00,26.13,clear sky
2024-11-26 21:00:00,25.62,67.00,25.99,clear sky
2024-11-27 00:00:00,25.42,66.00,25.74,clear sky
2024-11-27 03:00:00,26.04,64.00,26.04,clear sky
2024-11-27 06:00:00,28.82,51.00,29.55,clear sky
2024-11-27 09:00:00,29.28,49.00,29.90,clear sky
2024-11-27 12:00:00,28.11,56.00,29.17,clear sky
2024-11-27 15:00:00,26.39,68.00,26.39,clear sky
